ArtikelNummer,Omschrijving,Plato,AlcoholGraad,Eenheid,PrijsInEuroExclusiefTaksen
1001695,White Pony Strongest than Ever 24/33cl,28,15,24/33cl,54.29
1001730,White Pony Strongest than Ever(cognac) 24/33cl,28,15.1,24/33cl,80.15
1001813,White Pony Teppist 6/75cl,20,11.7,6/75cl,20.76
1006909,White Pony Teppistenbier,24.9,10,24/33cl,33.63
1006910,White Pony The Oracle,24,10,24/33cl,33.63
1007384,White Pony The Prophet BA Jack Daniels,22,11,24/33cl,67.82
1009600,White Pony The Troubles We Love 12/75cl,16,6.5,12/75cl,89.63
1001688,White Pony Venice 24/33cl,14,6.8,24/33cl,26.94
1006916,White Pony Winter Dawn,20,12,24/33cl,25.44
1006961,White Pony WTF Belgian IPA,16,6,24/33cl,36.72
1006912,White Pony Zumbi Imperial Porter,21.8,9.4,24/33cl,48.95
1006911,White Pony Zwart Bloed Black IPA,18,8.5,24/33cl,45.7
1010029,Wicked Weed Aicha 12/50cl,16,6.4,12/50cl,179.76
1009038,Wicked Weed Brettaberry Sour Ale 12/50cl,14,5.5,12/50cl,120.05
1009037,Wicked Weed Bretticent 12/50cl,16.5,6.5,12/50cl,96.73
1009039,Wicked Weed Fille De Ferme 12/50cl,11,4.1,12/50cl,99.47
1010027,Wicked Weed Fille Oblivion 12/50cl,17.3,8.5,12/50cl,171.65
1010031,Wicked Weed Persistence 12/50cl,19,9,12/50cl,179.29
1010030,Wicked Weed Royal Cache Malice 12/50cl,13,6,12/50cl,132.75
1007008,Wild Beer Beyond Modus,16.1,8,6/75cl,60.45
1007000,Wild Beer Epic Saison,10,5,18/33cl,43.54
1007004,Wild Beer Evolver IPA,12.3,5.8,18/33cl,49.54
1007005,Wild Beer Fresh,12.8,5.5,18/33cl,43.54
1007013,Wild Beer Indigo Child Toccalmatto,15,8,18/33cl,55.87
1007009,Wild Beer Madness IPA,15.5,6.8,18/33cl,48.99
1007006,Wild Beer Modus Operandi,14.8,7,18/33cl,67.22
1007010,Wild Beer Ninkasi,18,9,6/75cl,48.09
1007011,Wild Beer Ninkasi Premier Cru,16.5,10,18/33cl,64.55
1007007,Wild Beer Scarlet Fever,11.5,4.8,18/33cl,43.55
1007001,Wild Beer Somerset,10,5,18/33cl,49.07
1007002,Wild Beer Sourdough,7.5,3.6,18/33cl,51.83
1007003,Wild Beer Wild Goose Chase,9.5,4.5,18/33cl,45.52
1007012,Wild Beer Wildebeest,27.5,11,18/33cl,63.52
